縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
新竹市東區,937.0,10105.0,15330.0,42610.0,1.0,4.0,6.0,19.0,30.0,68982.0,3.3
嘉義縣阿里山鄉,0.0,70.0,200.0,690.0,0.0,2.0,3.0,9.0,14.0,960.0,0.0
苗栗縣苗栗市,0.0,15.0,440.0,2410.0,0.0,1.0,3.0,21.0,25.0,2865.0,0.0
金門縣金沙鎮,0.0,0.0,0.0,450.0,0.0,0.0,0.0,9.0,9.0,450.0,0.0
宜蘭縣三星鄉,0.0,945.0,106.0,751.0,0.0,6.0,1.0,7.0,14.0,1802.0,0.0
嘉義縣鹿草鄉,0.0,0.0,0.0,4120.0,0.0,0.0,0.0,12.0,12.0,4120.0,0.0
苗栗縣造橋鄉,0.0,0.0,210.0,600.0,0.0,0.0,2.0,2.0,4.0,810.0,0.0
金門縣金寧鄉,0.0,0.0,0.0,400.0,0.0,0.0,0.0,7.0,7.0,400.0,0.0
嘉義縣義竹鄉,0.0,0.0,200.0,3460.0,0.0,0.0,1.0,13.0,14.0,3660.0,0.0
苗栗縣頭屋鄉,0.0,0.0,500.0,0.0,0.0,0.0,5.0,0.0,5.0,500.0,0.0
連江縣北竿鄉,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0
金門縣金城鎮,0.0,0.0,0.0,790.0,0.0,0.0,0.0,7.0,7.0,790.0,0.0
連江縣南竿鄉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
連江縣東引鄉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
金門縣烏坵鄉,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,2.0,50.0,0.0
金門縣烈嶼鄉,0.0,0.0,0.0,250.0,0.0,0.0,0.0,6.0,6.0,250.0,0.0
連江縣莒光鄉,0.0,0.0,0.0,550.0,0.0,0.0,0.0,7.0,7.0,550.0,0.0
新竹縣橫山鄉,0.0,140.0,1015.0,0.0,0.0,3.0,7.0,0.0,10.0,1155.0,0.0
苗栗縣苑裡鎮,0.0,0.0,0.0,6150.0,0.0,0.0,0.0,8.0,8.0,6150.0,0.0
花蓮縣花蓮市,0.0,324.0,2047.0,4248.0,0.0,3.0,8.0,17.0,28.0,6619.0,0.0
花蓮縣光復鄉,0.0,650.0,400.0,680.0,0.0,5.0,4.0,5.0,14.0,1730.0,0.0
花蓮縣卓溪鄉,0.0,300.0,300.0,150.0,0.0,4.0,6.0,2.0,12.0,750.0,0.0
屏東縣東港鎮,0.0,1561.0,1050.0,0.0,0.0,5.0,3.0,0.0,8.0,2611.0,0.0
屏東縣春日鄉,0.0,320.0,250.0,410.0,0.0,2.0,2.0,4.0,8.0,980.0,0.0
屏東縣新埤鄉,0.0,0.0,0.0,700.0,0.0,0.0,0.0,2.0,2.0,700.0,0.0
屏東縣新園鄉,0.0,50.0,100.0,610.0,0.0,1.0,1.0,6.0,8.0,760.0,0.0
屏東縣恆春鎮,0.0,1820.0,0.0,430.0,0.0,3.0,0.0,1.0,4.0,2250.0,0.0
屏東縣崁頂鄉,0.0,200.0,0.0,550.0,0.0,1.0,0.0,3.0,4.0,750.0,0.0
花蓮縣秀林鄉,0.0,160.0,170.0,710.0,0.0,2.0,2.0,6.0,10.0,1040.0,0.0
花蓮縣萬榮鄉,0.0,0.0,320.0,660.0,0.0,0.0,2.0,8.0,10.0,980.0,0.0
宜蘭縣壯圍鄉,0.0,945.0,0.0,1480.0,0.0,3.0,0.0,13.0,16.0,2425.0,0.0
屏東縣內埔鄉,0.0,120.0,0.0,1900.0,0.0,1.0,0.0,13.0,14.0,2020.0,0.0
屏東縣佳冬鄉,0.0,0.0,0.0,739.0,0.0,0.0,0.0,3.0,3.0,739.0,0.0
苗栗縣三義鄉,0.0,0.0,0.0,790.0,0.0,0.0,0.0,8.0,8.0,790.0,0.0
苗栗縣公館鄉,0.0,0.0,300.0,300.0,0.0,0.0,1.0,1.0,2.0,600.0,0.0
雲林縣二崙鄉,0.0,0.0,500.0,4400.0,0.0,0.0,1.0,7.0,8.0,4900.0,0.0
苗栗縣卓蘭鎮,0.0,1150.0,300.0,400.0,0.0,6.0,2.0,3.0,11.0,1850.0,0.0
屏東縣九如鄉,0.0,0.0,129.0,200.0,0.0,0.0,1.0,2.0,3.0,329.0,0.0
屏東縣三地門鄉,0.0,0.0,630.0,440.0,0.0,0.0,7.0,8.0,15.0,1070.0,0.0
宜蘭縣羅東鎮,0.0,0.0,174.0,5699.0,0.0,0.0,1.0,23.0,24.0,5873.0,0.0
金門縣金湖鎮,0.0,0.0,0.0,400.0,0.0,0.0,0.0,9.0,9.0,400.0,0.0
雲林縣崙背鄉,0.0,0.0,0.0,5424.0,0.0,0.0,0.0,14.0,14.0,5424.0,0.0
雲林縣元長鄉,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,11.0,11.0,2800.0,0.0
高雄市湖內區,0.0,0.0,500.0,330.0,0.0,0.0,3.0,3.0,6.0,830.0,0.0
高雄市彌陀區,0.0,0.0,100.0,900.0,0.0,0.0,1.0,6.0,7.0,1000.0,0.0
高雄市新興區,0.0,0.0,1091.0,5364.0,0.0,0.0,1.0,5.0,6.0,6455.0,0.0
嘉義縣大林鎮,0.0,1010.0,1300.0,3980.0,0.0,3.0,2.0,6.0,11.0,6290.0,0.0
高雄市旗津區,0.0,0.0,1820.0,0.0,0.0,0.0,5.0,0.0,5.0,1820.0,0.0
高雄市林園區,0.0,1390.0,500.0,6620.0,0.0,2.0,1.0,6.0,9.0,8510.0,0.0
高雄市桃源區,0.0,3281.0,1711.0,588.0,0.0,4.0,9.0,4.0,17.0,5580.0,0.0
高雄市梓官區,0.0,60.0,650.0,1340.0,0.0,1.0,3.0,5.0,9.0,2050.0,0.0
嘉義縣六腳鄉,0.0,730.0,140.0,6870.0,0.0,2.0,2.0,12.0,16.0,7740.0,0.0
高雄市橋頭區,0.0,1105.0,0.0,5536.0,0.0,1.0,0.0,6.0,7.0,6641.0,0.0
高雄市永安區,0.0,0.0,50.0,330.0,0.0,0.0,1.0,4.0,5.0,380.0,0.0
嘉義市西區,0.0,0.0,957.0,10825.0,0.0,0.0,3.0,21.0,24.0,11782.0,0.0
雲林縣北港鎮,0.0,3700.0,1300.0,1500.0,0.0,6.0,2.0,9.0,17.0,6500.0,0.0
高雄市田寮區,0.0,70.0,200.0,0.0,0.0,1.0,3.0,0.0,4.0,270.0,0.0
南投縣鹿谷鄉,0.0,360.0,2350.0,650.0,0.0,3.0,10.0,3.0,16.0,3360.0,0.0
高雄市苓雅區,0.0,2193.0,0.0,14006.0,0.0,2.0,0.0,11.0,13.0,16199.0,0.0
高雄市茂林區,0.0,520.0,50.0,350.0,0.0,3.0,1.0,2.0,6.0,920.0,0.0
高雄市茄萣區,0.0,0.0,589.0,3206.0,0.0,0.0,1.0,6.0,7.0,3795.0,0.0
高雄市路竹區,0.0,0.0,0.0,9024.0,0.0,0.0,0.0,11.0,11.0,9024.0,0.0
高雄市那瑪夏區,0.0,0.0,480.0,300.0,0.0,0.0,2.0,1.0,3.0,780.0,0.0
高雄市阿蓮區,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,5.0,5.0,1000.0,0.0
高雄市鳥松區,0.0,1914.0,0.0,1076.0,0.0,3.0,0.0,6.0,9.0,2990.0,0.0
高雄市鹽埕區,0.0,663.0,550.0,0.0,0.0,2.0,3.0,0.0,5.0,1213.0,0.0
嘉義縣太保市,0.0,70.0,0.0,5077.0,0.0,1.0,0.0,23.0,24.0,5147.0,0.0
高雄市岡山區,0.0,300.0,1080.0,6065.0,0.0,2.0,5.0,7.0,14.0,7445.0,0.0
高雄市小港區,0.0,0.0,1255.0,7021.0,0.0,0.0,1.0,16.0,17.0,8276.0,0.0
高雄市大社區,0.0,300.0,0.0,700.0,0.0,3.0,0.0,2.0,5.0,1000.0,0.0
雲林縣口湖鄉,0.0,0.0,400.0,3640.0,0.0,0.0,1.0,24.0,25.0,4040.0,0.0
嘉義縣番路鄉,0.0,122.0,995.0,3092.0,0.0,2.0,5.0,15.0,22.0,4209.0,0.0
雲林縣四湖鄉,0.0,0.0,650.0,2240.0,0.0,0.0,2.0,10.0,12.0,2890.0,0.0
雲林縣土庫鎮,0.0,400.0,236.0,881.0,0.0,1.0,3.0,9.0,13.0,1517.0,0.0
雲林縣大埤鄉,0.0,0.0,0.0,899.0,0.0,0.0,0.0,7.0,7.0,899.0,0.0
嘉義縣溪口鄉,0.0,0.0,250.0,2695.0,0.0,0.0,1.0,9.0,10.0,2945.0,0.0
雲林縣東勢鄉,0.0,188.0,0.0,1557.0,0.0,3.0,0.0,14.0,17.0,1745.0,0.0
雲林縣水林鄉,0.0,150.0,300.0,4050.0,0.0,1.0,1.0,14.0,16.0,4500.0,0.0
雲林縣臺西鄉,0.0,700.0,0.0,4080.0,0.0,2.0,0.0,10.0,12.0,4780.0,0.0
雲林縣莿桐鄉,0.0,0.0,170.0,776.0,0.0,0.0,2.0,5.0,7.0,946.0,0.0
雲林縣虎尾鎮,0.0,873.0,357.0,10388.0,0.0,6.0,1.0,28.0,35.0,11618.0,0.0
雲林縣褒忠鄉,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,8.0,8.0,1600.0,0.0
雲林縣西螺鎮,0.0,50.0,220.0,6670.0,0.0,1.0,3.0,32.0,36.0,6940.0,0.0
雲林縣麥寮鄉,0.0,50.0,0.0,2037.0,0.0,1.0,0.0,16.0,17.0,2087.0,0.0
嘉義縣梅山鄉,0.0,150.0,900.0,1050.0,0.0,1.0,4.0,10.0,15.0,2100.0,0.0
高雄市仁武區,0.0,3599.0,529.0,3861.0,0.0,4.0,2.0,6.0,12.0,7989.0,0.0
嘉義縣朴子市,0.0,1450.0,3300.0,2504.0,0.0,2.0,1.0,12.0,15.0,7254.0,0.0
高雄市前金區,0.0,2080.0,2363.0,25.0,0.0,2.0,2.0,1.0,5.0,4468.0,0.0
高雄市前鎮區,0.0,8149.0,1676.0,8717.0,0.0,7.0,3.0,11.0,21.0,18542.0,0.0
高雄市大寮區,0.0,320.0,0.0,6350.0,0.0,3.0,0.0,37.0,40.0,6670.0,0.0
嘉義縣布袋鎮,0.0,905.0,45.0,6074.0,0.0,2.0,1.0,16.0,19.0,7024.0,0.0
臺東縣鹿野鄉,0.0,170.0,200.0,320.0,0.0,3.0,4.0,10.0,17.0,690.0,0.0
臺東縣池上鄉,0.0,100.0,350.0,1440.0,0.0,1.0,4.0,11.0,16.0,1890.0,0.0
屏東縣枋山鄉,0.0,150.0,140.0,140.0,0.0,1.0,2.0,2.0,5.0,430.0,0.0
臺中市潭子區,0.0,0.0,50.0,4613.0,0.0,0.0,1.0,14.0,15.0,4663.0,0.0
臺中市大肚區,0.0,0.0,0.0,1651.0,0.0,0.0,0.0,15.0,15.0,1651.0,0.0
彰化縣竹塘鄉,0.0,0.0,0.0,950.0,0.0,0.0,0.0,9.0,9.0,950.0,0.0
臺中市大雅區,0.0,0.0,0.0,14148.0,0.0,0.0,0.0,20.0,20.0,14148.0,0.0
彰化縣秀水鄉,0.0,0.0,0.0,2408.0,0.0,0.0,0.0,29.0,29.0,2408.0,0.0
彰化縣福興鄉,0.0,0.0,100.0,900.0,0.0,0.0,1.0,7.0,8.0,1000.0,0.0
彰化縣社頭鄉,0.0,300.0,300.0,1850.0,0.0,1.0,1.0,8.0,10.0,2450.0,0.0
臺中市東區,0.0,2700.0,1200.0,2350.0,0.0,3.0,2.0,4.0,9.0,6250.0,0.0
臺中市梧棲區,0.0,0.0,250.0,3200.0,0.0,0.0,1.0,15.0,16.0,3450.0,0.0
臺中市沙鹿區,0.0,157.0,224.0,10066.0,0.0,1.0,1.0,34.0,36.0,10447.0,0.0
臺中市清水區,0.0,90.0,300.0,3325.0,0.0,2.0,1.0,15.0,18.0,3715.0,0.0
彰化縣田尾鄉,0.0,563.0,250.0,1661.0,0.0,4.0,4.0,16.0,24.0,2474.0,0.0
屏東縣林邊鄉,0.0,0.0,0.0,500.0,0.0,0.0,0.0,3.0,3.0,500.0,0.0
彰化縣田中鎮,0.0,0.0,0.0,2676.0,0.0,0.0,0.0,16.0,16.0,2676.0,0.0
臺中市神岡區,0.0,0.0,0.0,2021.0,0.0,0.0,0.0,9.0,9.0,2021.0,0.0
臺中市西區,0.0,0.0,3850.0,300.0,0.0,0.0,4.0,4.0,8.0,4150.0,0.0
臺中市西屯區,0.0,4642.0,315.0,15782.0,0.0,4.0,2.0,17.0,23.0,20739.0,0.0
彰化縣溪湖鎮,0.0,30.0,0.0,940.0,0.0,1.0,0.0,15.0,16.0,970.0,0.0
彰化縣溪州鄉,0.0,42.0,0.0,1352.0,0.0,1.0,0.0,11.0,12.0,1394.0,0.0
彰化縣永靖鄉,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,22.0,22.0,2160.0,0.0
彰化縣大村鄉,0.0,0.0,50.0,1200.0,0.0,0.0,1.0,17.0,18.0,1250.0,0.0
臺北市中正區,0.0,332.0,129.0,9368.0,0.0,3.0,2.0,15.0,20.0,9829.0,0.0
臺北市信義區,0.0,97.0,0.0,3732.0,0.0,1.0,0.0,18.0,19.0,3829.0,0.0
臺中市大甲區,0.0,2801.0,805.0,2895.0,0.0,2.0,2.0,7.0,11.0,6501.0,0.0
南投縣仁愛鄉,0.0,580.0,550.0,2730.0,0.0,3.0,4.0,22.0,29.0,3860.0,0.0
臺中市外埔區,0.0,0.0,100.0,800.0,0.0,0.0,1.0,3.0,4.0,900.0,0.0
彰化縣線西鄉,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,12.0,12.0,1130.0,0.0
新竹縣竹北市,0.0,1425.0,3960.0,3800.0,0.0,3.0,4.0,6.0,13.0,9185.0,0.0
新竹縣五峰鄉,0.0,40.0,110.0,160.0,0.0,1.0,1.0,2.0,4.0,310.0,0.0
新竹縣,0.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,1.0,110.0,0.0
新竹市北區,0.0,6430.0,1895.0,13575.0,0.0,4.0,1.0,8.0,13.0,21900.0,0.0
新北市蘆洲區,0.0,58.0,0.0,15104.0,0.0,1.0,0.0,19.0,20.0,15162.0,0.0
新北市永和區,0.0,4034.0,239.0,12993.0,0.0,6.0,1.0,9.0,16.0,17266.0,0.0
桃園市復興區,0.0,0.0,90.0,177.0,0.0,0.0,2.0,3.0,5.0,267.0,0.0
桃園市新屋區,0.0,0.0,0.0,1100.0,0.0,1.0,0.0,21.0,22.0,1100.0,0.0
新北市板橋區,0.0,7659.0,3395.0,25882.0,0.0,7.0,2.0,20.0,29.0,36936.0,0.0
新北市中和區,0.0,92.0,0.0,27393.0,0.0,1.0,0.0,21.0,22.0,27485.0,0.0
新北市三重區,0.0,5806.0,3015.0,21197.0,0.0,5.0,3.0,28.0,36.0,30018.0,0.0
澎湖縣七美鄉,0.0,0.0,0.0,1639.0,0.0,0.0,0.0,10.0,10.0,1639.0,0.0
澎湖縣望安鄉,0.0,0.0,0.0,210.0,0.0,0.0,0.0,2.0,2.0,210.0,0.0
澎湖縣湖西鄉,0.0,0.0,0.0,1488.0,0.0,0.0,0.0,13.0,13.0,1488.0,0.0
澎湖縣白沙鄉,0.0,0.0,0.0,152.0,0.0,0.0,0.0,2.0,2.0,152.0,0.0
澎湖縣西嶼鄉,0.0,0.0,0.0,815.0,0.0,0.0,0.0,8.0,8.0,815.0,0.0
澎湖縣馬公市,0.0,0.0,0.0,3140.0,0.0,0.0,0.0,12.0,12.0,3140.0,0.0
臺中市中區,0.0,188.0,2190.0,1500.0,0.0,2.0,2.0,1.0,5.0,3878.0,0.0
彰化縣鹿港鎮,0.0,150.0,341.0,2916.0,0.0,1.0,3.0,21.0,25.0,3407.0,0.0
臺中市南區,0.0,590.0,0.0,12581.0,0.0,3.0,0.0,10.0,13.0,13171.0,0.0
彰化縣芳苑鄉,0.0,150.0,400.0,800.0,0.0,1.0,1.0,4.0,6.0,1350.0,0.0
臺北市內湖區,0.0,389.0,5949.0,2609.0,0.0,3.0,7.0,16.0,26.0,8947.0,0.0
彰化縣大城鄉,0.0,200.0,0.0,1000.0,0.0,2.0,0.0,10.0,12.0,1200.0,0.0
臺北市南港區,0.0,895.0,9331.0,665.0,0.0,6.0,6.0,3.0,15.0,10891.0,0.0
臺南市後壁區,0.0,0.0,45.0,3330.0,0.0,0.0,1.0,23.0,24.0,3375.0,0.0
臺南市新市區,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,7.0,7.0,3900.0,0.0
臺南市新營區,0.0,1350.0,300.0,6600.0,0.0,2.0,1.0,12.0,15.0,8250.0,0.0
臺南市東區,0.0,1700.0,250.0,19650.0,0.0,1.0,1.0,19.0,21.0,21600.0,0.0
臺南市柳營區,0.0,900.0,0.0,2600.0,0.0,3.0,0.0,10.0,13.0,3500.0,0.0
臺南市楠西區,0.0,80.0,680.0,730.0,0.0,1.0,2.0,2.0,5.0,1490.0,0.0
臺南市歸仁區,0.0,0.0,0.0,7230.0,0.0,0.0,0.0,10.0,10.0,7230.0,0.0
臺南市玉井區,0.0,60.0,630.0,710.0,0.0,1.0,4.0,3.0,8.0,1400.0,0.0
屏東縣長治鄉,0.0,0.0,0.0,800.0,0.0,0.0,0.0,4.0,4.0,800.0,0.0
屏東縣里港鄉,0.0,600.0,0.0,4820.0,0.0,2.0,0.0,5.0,7.0,5420.0,0.0
臺南市關廟區,0.0,970.0,145.0,2020.0,0.0,3.0,1.0,5.0,9.0,3135.0,0.0
屏東縣車城鄉,0.0,600.0,189.0,100.0,0.0,2.0,3.0,1.0,6.0,889.0,0.0
臺南市麻豆區,0.0,0.0,0.0,5900.0,0.0,0.0,0.0,9.0,9.0,5900.0,0.0
屏東縣萬巒鄉,0.0,360.0,130.0,710.0,0.0,2.0,2.0,5.0,9.0,1200.0,0.0
屏東縣萬丹鄉,0.0,0.0,0.0,1730.0,0.0,0.0,0.0,11.0,11.0,1730.0,0.0
屏東縣竹田鄉,0.0,0.0,200.0,1060.0,0.0,0.0,1.0,4.0,5.0,1260.0,0.0
臺東縣太麻里鄉,0.0,160.0,170.0,450.0,0.0,2.0,3.0,6.0,11.0,780.0,0.0
屏東縣琉球鄉,0.0,0.0,0.0,900.0,0.0,0.0,0.0,6.0,6.0,900.0,0.0
臺東縣海端鄉,0.0,280.0,0.0,230.0,0.0,3.0,0.0,3.0,6.0,510.0,0.0
臺東縣臺東市,0.0,85.0,68.0,881.0,0.0,2.0,2.0,13.0,17.0,1034.0,0.0
臺東縣蘭嶼鄉,0.0,500.0,100.0,800.0,0.0,1.0,1.0,4.0,6.0,1400.0,0.0
臺東縣達仁鄉,0.0,250.0,810.0,650.0,0.0,3.0,7.0,5.0,15.0,1710.0,0.0
臺南市新化區,0.0,750.0,1300.0,2920.0,0.0,3.0,3.0,9.0,15.0,4970.0,0.0
臺南市山上區,0.0,1100.0,100.0,1450.0,0.0,3.0,2.0,4.0,9.0,2650.0,0.0
彰化縣埤頭鄉,0.0,35.0,0.0,560.0,0.0,1.0,0.0,15.0,16.0,595.0,0.0
臺南市將軍區,0.0,50.0,0.0,3400.0,0.0,1.0,0.0,18.0,19.0,3450.0,0.0
臺北市大同區,0.0,224.0,2734.0,944.0,0.0,3.0,6.0,9.0,18.0,3902.0,0.0
臺北市大安區,0.0,161.0,578.0,49781.0,0.0,1.0,3.0,17.0,21.0,50520.0,0.0
彰化縣埔鹽鄉,0.0,0.0,0.0,1850.0,0.0,0.0,0.0,11.0,11.0,1850.0,0.0
彰化縣埔心鄉,0.0,0.0,0.0,3426.0,0.0,0.0,0.0,10.0,10.0,3426.0,0.0
臺北市萬華區,0.0,296.0,34056.0,1497.0,0.0,5.0,2.0,12.0,19.0,35849.0,0.0
彰化縣員林市,0.0,0.0,330.0,2110.0,0.0,0.0,2.0,11.0,13.0,2440.0,0.0
臺南市下營區,0.0,0.0,0.0,2410.0,0.0,0.0,0.0,12.0,12.0,2410.0,0.0
臺南市仁德區,0.0,0.0,570.0,7260.0,0.0,0.0,1.0,4.0,5.0,7830.0,0.0
臺南市佳里區,0.0,2230.0,2470.0,20100.0,0.0,2.0,1.0,14.0,17.0,24800.0,0.0
臺南市六甲區,0.0,0.0,50.0,2830.0,0.0,0.0,1.0,15.0,16.0,2880.0,0.0
臺南市北區,0.0,105.0,4245.0,12606.0,0.0,2.0,3.0,16.0,21.0,16956.0,0.0
臺南市北門區,0.0,0.0,600.0,730.0,0.0,0.0,1.0,4.0,5.0,1330.0,0.0
彰化縣北斗鎮,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,10.0,10.0,3200.0,0.0
臺南市南區,0.0,6717.0,0.0,39865.0,0.0,3.0,0.0,14.0,17.0,46582.0,0.0
臺南市善化區,0.0,0.0,270.0,5160.0,0.0,0.0,1.0,16.0,17.0,5430.0,0.0
臺南市大內區,0.0,80.0,0.0,1100.0,0.0,2.0,0.0,5.0,7.0,1180.0,0.0
臺南市學甲區,0.0,0.0,0.0,2120.0,0.0,0.0,0.0,8.0,8.0,2120.0,0.0
彰化縣伸港鄉,0.0,60.0,0.0,2520.0,0.0,1.0,0.0,18.0,19.0,2580.0,0.0
臺南市安定區,0.0,0.0,0.0,4600.0,0.0,0.0,0.0,17.0,17.0,4600.0,0.0
彰化縣二水鄉,0.0,545.0,0.0,993.0,0.0,7.0,0.0,11.0,18.0,1538.0,0.0
屏東縣麟洛鄉,0.0,0.0,0.0,380.0,0.0,0.0,0.0,4.0,4.0,380.0,0.0
臺中市大安區,0.0,1325.0,300.0,7899.0,0.0,1.0,1.0,5.0,7.0,9524.0,0.0
